Ticker,Company Name,CEO Name,Start Date,End Date,Source,Validation URL
SBAC,SBA COMMUNICATIONS CORP,Steven E. Bernstein,1989-01-01,2001-01-01,Annual filing,https://www.sec.gov/Archives/edgar/data/1034054/000119312524094748/d778552ddef14a.htm
SBAC,SBA COMMUNICATIONS CORP,Jeffrey A. Stoops,2002-01-01,2023-12-31,Annual filing,https://www.sec.gov/Archives/edgar/data/1034054/000119312524094748/d778552ddef14a.htm
SBAC,SBA COMMUNICATIONS CORP,Brendan Cavanagh,2024-01-01,Present,8-K,https://www.sec.gov/Archives/edgar/data/1034054/000119312523302224/d541759d8k.htm
SBUX,STARBUCKS CORP,Orin C. Smith,,2005-03-31,8-K,https://www.sec.gov/Archives/edgar/data/829224/000095012405002201/v07450e8vk.htm
SBUX,STARBUCKS CORP,James L. Donald,2005-04-01,2008-01-07,8-K,https://www.sec.gov/Archives/edgar/data/829224/000089102008000009/v36971e8vk.htm
SBUX,STARBUCKS CORP,Howard Schultz,2008-01-07,2017-04-03,8-K,https://www.sec.gov/Archives/edgar/data/829224/000119312516782502/d299175d8k.htm
SBUX,STARBUCKS CORP,Kevin R. Johnson,2017-04-03,2022-04-04,8-K,https://www.sec.gov/Archives/edgar/data/829224/000119312517092942/d335493d8ka.htm
SBUX,STARBUCKS CORP,Laxman Narasimhan,2023-03-20,2024-09-09,8-K,https://www.sec.gov/Archives/edgar/data/829224/000082922423000022/sbux-20230320.htm
SBUX,STARBUCKS CORP,Brian Niccol,2024-09-09,Present,8-K,https://www.sec.gov/Archives/edgar/data/829224/000119312524200724/d848513d8k.htm
SCHW,SCHWAB CHARLES CORP,Charles R. Schwab,,2008-10-01,8-K,https://www.sec.gov/Archives/edgar/data/316709/000118143108052768/rrd218388.htm
SCHW,SCHWAB CHARLES CORP,Walter W. Bettinger II,2008-10-01,2024-12-31,8-K,https://www.sec.gov/Archives/edgar/data/316709/000119312524229532/d872219d8k.htm
SCHW,SCHWAB CHARLES CORP,Richard A. Wurster,2025-01-01,Present,8-K,https://www.sec.gov/Archives/edgar/data/316709/000119312524229532/d872219d8k.htm
SHW,SHERWIN WILLIAMS CO,Christopher M. Connor,2005-05-31,2015-12-31,8-K,https://www.sec.gov/Archives/edgar/data/89800/000095015205004875/l14253ae8vk.htm
SHW,SHERWIN WILLIAMS CO,John G. Morikis,2016-01-01,2023-12-31,8-K,https://www.sec.gov/Archives/edgar/data/89800/000119312515346230/d89708d8k.htm
SHW,SHERWIN WILLIAMS CO,Heidi G. Petz,2024-01-01,Present,8-K,https://www.sec.gov/Archives/edgar/data/89800/000119312523253865/d555860d8k.htm
SJM,J M SMUCKER Co,Timothy P. Smucker,,2011-08-16,8-K,https://www.sec.gov/Archives/edgar/data/91419/000114420411013379/v213841_8k.htm
SJM,J M SMUCKER Co,Richard K. Smucker,2011-08-16,2016-05-01,8-K,https://www.sec.gov/Archives/edgar/data/91419/000119312516495224/d155128d8k.htm
